,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
202,32465,30.00214,-85.17801,Wewahitchka,FL,Florida,8179,16,Gulf,16616,59,0.0,29.0,0.0,86239.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,32466,30.39082,-85.51914000000001,Youngstown,FL,Florida,6450,20,Bay,184057,880,5.0,31.0,0.0,176396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,32501,30.428459999999998,-87.22236,Pensacola,FL,Florida,11557,1191,Escambia,308600,3188,51.0,119.0,2.0,155569.0,7,0,11,18,5,16,102,34,122,4,7,127,8,27
205,32502,30.40948,-87.22288,Pensacola,FL,Florida,3185,553,Escambia,308600,3188,51.0,33.0,1.0,201221.0,23,1,37,38,7,20,101,62,177,4,6,25,0,21
206,32503,30.4602,-87.21398,Pensacola,FL,Florida,34520,1005,Escambia,308600,3188,51.0,357.0,6.0,200807.0,4,0,10,12,4,12,108,52,180,6,4,124,29,8
207,32504,30.48459,-87.19099,Pensacola,FL,Florida,23080,774,Escambia,308600,3188,51.0,238.0,4.0,185018.0,4,0,6,20,49,40,98,59,186,5,16,76,7,5
208,32505,30.454759999999997,-87.26073000000001,Pensacola,FL,Florida,24965,804,Escambia,308600,3188,51.0,258.0,4.0,72031.0,2,1,6,3,2,6,24,6,69,3,3,5,0,5
209,32506,30.391809999999996,-87.36806999999999,Pensacola,FL,Florida,36923,403,Escambia,308600,3188,51.0,381.0,6.0,152010.0,3,0,0,5,1,2,7,3,6,1,1,1,0,0
210,32507,30.3392,-87.38218,Pensacola,FL,Florida,31288,445,Escambia,308600,3188,51.0,323.0,5.0,240834.0,0,0,0,9,0,0,7,2,3,0,0,6,0,1
211,32508,30.354779999999998,-87.30278,Pensacola,FL,Florida,5381,279,Escambia,308600,3188,51.0,56.0,1.0,,4,0,2,6,6,6,14,4,3,1,4,2,0,0
212,32509,30.470779999999998,-87.34100000000001,Pensacola,FL,Florida,702,200,Escambia,308600,3188,51.0,7.0,0.0,,0,0,0,9,0,1,4,2,9,1,0,1,1,1
213,32511,30.406059999999997,-87.29175,Pensacola,FL,Florida,1034,1821,Escambia,308600,3188,51.0,11.0,0.0,,4,0,6,7,11,6,51,37,76,10,7,30,6,2
214,32514,30.53185,-87.22196,Pensacola,FL,Florida,44759,738,Escambia,308600,3188,51.0,462.0,7.0,172603.0,12,0,5,11,66,5,106,22,57,14,2,119,9,8
215,32526,30.496570000000002,-87.3653,Pensacola,FL,Florida,36300,241,Escambia,308600,3188,51.0,375.0,6.0,171677.0,1,0,1,1,1,0,4,2,4,0,1,0,0,1
217,32531,30.87684,-86.69098000000001,Baker,FL,Florida,5735,10,Okaloosa,203462,969,9.0,27.0,0.0,212896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,32533,30.61058,-87.32678,Cantonment,FL,Florida,27632,137,Escambia,308600,3188,51.0,285.0,5.0,208637.0,1,0,3,7,0,4,5,7,17,0,1,3,0,4
219,32534,30.5329,-87.28294,Pensacola,FL,Florida,14524,558,Escambia,308600,3188,51.0,150.0,2.0,152151.0,4,0,6,10,4,13,43,27,110,3,3,9,0,5
220,32535,30.964879999999997,-87.34907,Century,FL,Florida,5694,35,Escambia,308600,3188,51.0,59.0,1.0,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,32536,30.76428,-86.59175,Crestview,FL,Florida,23426,164,Okaloosa,203462,969,9.0,112.0,1.0,209817.0,0,0,3,4,0,2,13,6,26,2,2,5,0,8
222,32539,30.774759999999997,-86.46308,Crestview,FL,Florida,29265,80,Okaloosa,203462,969,9.0,139.0,1.0,186174.0,0,0,0,0,0,0,1,0,2,0,0,1,0,0
223,32541,30.396990000000002,-86.47062,Destin,FL,Florida,18908,518,Okaloosa,203462,969,9.0,90.0,1.0,430186.0,4,0,5,32,5,47,57,52,117,10,4,21,2,7
224,32542,30.55285,-86.57432,Eglin Afb,FL,Florida,3081,83,Okaloosa,203462,969,9.0,15.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,32544,30.427940000000003,-86.69927,Hurlburt Field,FL,Florida,2003,74,Okaloosa,203462,969,9.0,10.0,0.0,,1,0,1,6,4,5,19,4,7,1,0,2,0,1
226,32547,30.46868,-86.66717,Fort Walton Beach,FL,Florida,33339,359,Okaloosa,203462,969,9.0,159.0,1.0,233089.0,0,0,0,0,1,1,0,0,7,0,0,0,0,0
227,32548,30.406909999999996,-86.65324,Fort Walton Beach,FL,Florida,21315,576,Okaloosa,203462,969,9.0,102.0,1.0,236673.0,1,0,9,8,4,13,58,40,137,1,5,28,1,4
228,32550,30.385540000000002,-86.34555999999999,Miramar Beach,FL,Florida,8490,338,Walton,63313,395,9.0,53.0,1.0,456006.0,4,1,6,21,0,28,29,48,193,7,0,10,0,4
229,32561,30.35158,-87.11104,Gulf Breeze,FL,Florida,9305,254,Santa Rosa,172534,993,10.0,54.0,1.0,511610.0,0,0,0,10,0,5,7,1,1,4,1,1,1,2
230,32563,30.39623,-87.02729000000001,Gulf Breeze,FL,Florida,25550,521,Santa Rosa,172534,993,10.0,147.0,1.0,277958.0,1,0,4,5,7,0,10,6,20,4,2,2,0,3
231,32564,30.72607,-86.78242,Holt,FL,Florida,2931,13,Okaloosa,203462,969,9.0,14.0,0.0,167718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
