,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
0,6390,41.27023,-71.98781,Fishers Island,NY,New York,183,23,Suffolk,1481758,41730,1984.0,5.0,0.0,1436003.0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
1,10001,40.750609999999995,-73.99716,New York,NY,New York,22924,13260,New York,1621814,28920,3104.0,409.0,44.0,1116032.0,207,18,250,217,109,198,256,246,208,143,215,234,81,116
2,10002,40.71586,-73.98613,New York,NY,New York,74993,35782,New York,1621814,28920,3104.0,1337.0,144.0,824821.0,167,4,249,218,129,189,242,250,190,111,202,179,43,105
3,10003,40.7318,-73.98911,New York,NY,New York,54682,37525,New York,1621814,28920,3104.0,975.0,105.0,936780.0,197,9,250,223,177,167,213,247,207,133,233,237,142,123
4,10004,40.69465,-74.02105999999999,New York,NY,New York,3028,2215,New York,1621814,28920,3104.0,54.0,6.0,1047883.0,63,1,55,133,76,136,157,120,118,61,67,148,7,19
5,10005,40.70616,-74.00907,New York,NY,New York,8831,37901,New York,1621814,28920,3104.0,157.0,17.0,1126073.0,115,4,151,206,113,194,250,248,159,102,174,207,23,102
6,10006,40.70968,-74.01284,New York,NY,New York,3454,12459,New York,1621814,28920,3104.0,62.0,7.0,841274.0,119,8,159,197,121,202,257,249,183,94,174,221,19,84
7,10007,40.71394,-74.00763,New York,NY,New York,7023,16915,New York,1621814,28920,3104.0,125.0,13.0,2861973.0,160,3,221,199,107,205,259,247,175,113,195,202,27,94
8,10009,40.72664,-73.97858000000001,New York,NY,New York,57925,38400,New York,1621814,28920,3104.0,1033.0,111.0,777654.0,169,5,250,192,163,139,166,249,172,107,181,171,118,103
9,10010,40.73914,-73.98255,New York,NY,New York,33730,32206,New York,1621814,28920,3104.0,601.0,65.0,803505.0,147,9,250,228,191,176,258,246,192,140,241,296,165,123
10,10011,40.74187,-74.00052,New York,NY,New York,50472,29744,New York,1621814,28920,3104.0,900.0,97.0,1002517.0,167,9,250,201,168,162,213,247,177,124,213,204,94,112
