,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
1237,13484,42.86634,-75.65921999999999,West Eaton,NY,New York,297,27,Madison,78175,367,9.0,1.0,0.0,,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1238,13485,42.78675,-75.31488,West Edmeston,NY,New York,1009,10,Chenango,50373,157,6.0,3.0,0.0,107607.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1239,13486,43.34665,-75.34962,Westernville,NY,New York,864,11,Oneida,231874,1760,102.0,7.0,0.0,128267.0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1240,13488,42.690979999999996,-74.74896,Westford,NY,New York,151,9,Otsego,59273,86,4.0,0.0,0.0,123730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,13489,43.46715,-75.54188,West Leyden,NY,New York,679,6,Lewis,25500,31,5.0,1.0,0.0,116382.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1242,13490,43.11007,-75.42645999999999,Westmoreland,NY,New York,1757,45,Oneida,231874,1760,102.0,13.0,1.0,153888.0,0,0,0,2,0,2,1,4,4,0,0,1,0,1
1243,13491,42.8627,-75.17635,West Winfield,NY,New York,3617,20,Herkimer,66454,181,3.0,10.0,0.0,125043.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1244,13492,43.11988,-75.32875,Whitesboro,NY,New York,11268,297,Oneida,231874,1760,102.0,86.0,5.0,163197.0,1,0,0,6,4,0,8,3,6,1,2,1,0,2
1245,13493,43.43417,-75.89572,Williamstown,NY,New York,1792,11,Oswego,121895,207,3.0,3.0,0.0,90098.0,0,0,3,0,0,0,5,3,2,0,1,0,0,0
1246,13494,43.53267,-75.14124,Woodgate,NY,New York,332,7,Oneida,231874,1760,102.0,3.0,0.0,158540.0,0,0,1,3,0,2,2,1,2,0,0,0,0,0
1247,13495,43.11085,-75.27752,Yorkville,NY,New York,2197,949,Oneida,231874,1760,102.0,17.0,1.0,112970.0,9,0,7,9,23,4,67,32,65,1,4,33,7,7
1248,13501,43.08125,-75.22635,Utica,NY,New York,37646,1702,Oneida,231874,1760,102.0,286.0,17.0,123423.0,4,0,9,5,16,3,17,18,58,3,5,4,0,2
1249,13502,43.14098,-75.1611,Utica,NY,New York,32542,239,Oneida,231874,1760,102.0,247.0,14.0,126587.0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
1250,13601,43.96837,-75.90674,Watertown,NY,New York,37624,105,Jefferson,115797,94,0.0,31.0,0.0,135349.0,13,0,8,11,6,9,98,26,106,5,7,62,5,10
1251,13602,44.05127,-75.76505999999999,Fort Drum,NY,New York,4007,154,Jefferson,115797,94,0.0,3.0,0.0,,5,0,4,7,5,2,25,6,4,0,0,3,0,0
1252,13603,44.03703,-75.79779,Watertown,NY,New York,9589,691,Jefferson,115797,94,0.0,8.0,0.0,,4,0,3,7,3,6,21,16,17,2,2,3,0,2
1253,13605,43.80618,-76.04895,Adams,NY,New York,4816,23,Jefferson,115797,94,0.0,4.0,0.0,150149.0,1,0,0,0,0,0,2,5,7,0,0,1,0,1
1254,13606,43.87206,-76.01523,Adams Center,NY,New York,2716,30,Jefferson,115797,94,0.0,2.0,0.0,153556.0,0,0,1,4,0,0,5,3,7,0,1,2,0,1
1255,13607,44.31525,-75.91899000000001,Alexandria Bay,NY,New York,1247,40,Jefferson,115797,94,0.0,1.0,0.0,115647.0,2,0,1,5,0,2,1,3,9,1,0,1,0,0
1256,13608,44.2403,-75.62522,Antwerp,NY,New York,1544,17,Jefferson,115797,94,0.0,1.0,0.0,105548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,13612,43.988209999999995,-75.7716,Black River,NY,New York,2322,63,Jefferson,115797,94,0.0,2.0,0.0,169884.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1258,13613,44.863859999999995,-74.74077,Brasher Falls,NY,New York,2574,13,St. Lawrence,107642,226,3.0,5.0,0.0,82159.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,13614,44.53089,-75.69114,Brier Hill,NY,New York,333,16,St. Lawrence,107642,226,3.0,1.0,0.0,56154.0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1260,13615,44.04015,-75.98508000000001,Brownville,NY,New York,1162,129,Jefferson,115797,94,0.0,1.0,0.0,148460.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1261,13616,44.02608,-75.85861,Calcium,NY,New York,2229,131,Jefferson,115797,94,0.0,2.0,0.0,150731.0,0,0,0,5,0,3,5,4,15,1,1,2,0,1
1262,13617,44.579209999999996,-75.14931,Canton,NY,New York,11034,35,St. Lawrence,107642,226,3.0,23.0,0.0,113927.0,4,0,2,4,24,1,28,2,4,1,0,28,0,1
1263,13618,44.11925,-76.27578000000001,Cape Vincent,NY,New York,1563,14,Jefferson,115797,94,0.0,1.0,0.0,157826.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,13619,43.97907,-75.6012,Carthage,NY,New York,10640,39,Jefferson,115797,94,0.0,9.0,0.0,133628.0,1,0,7,9,0,2,25,9,19,2,6,17,3,5
1265,13620,43.91039,-75.45018,Castorland,NY,New York,2245,19,Lewis,25500,31,5.0,3.0,0.0,145274.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1266,13621,44.83972,-75.07205,Chase Mills,NY,New York,469,10,St. Lawrence,107642,226,3.0,1.0,0.0,79460.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1267,13622,44.096709999999995,-76.11278,Chaumont,NY,New York,2344,17,Jefferson,115797,94,0.0,2.0,0.0,168877.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1268,13623,44.44976,-75.75247,Chippewa Bay,NY,New York,13,48,St. Lawrence,107642,226,3.0,0.0,0.0,,1,0,0,6,0,0,1,0,1,0,0,0,0,0
