,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
634,12167,42.420759999999994,-74.58407,Stamford,NY,New York,2737,21,Delaware,41659,91,4.0,6.0,0.0,144904.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
635,12168,42.560990000000004,-73.38082,Stephentown,NY,New York,2053,22,Rensselaer,160030,578,33.0,7.0,0.0,201779.0,0,0,0,1,1,0,4,3,7,0,1,0,0,0
636,12169,42.58644,-73.44275999999999,Stephentown,NY,New York,222,13,Rensselaer,160030,578,33.0,1.0,0.0,191285.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
637,12170,42.99685,-73.66309,Stillwater,NY,New York,5061,64,Saratoga,222917,578,15.0,13.0,0.0,230573.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
638,12172,42.28913,-73.73955,Stottville,NY,New York,271,332,Columbia,58582,479,47.0,2.0,0.0,162984.0,1,0,1,4,0,2,11,8,23,0,0,4,1,4
639,12173,42.387570000000004,-73.76025,Stuyvesant,NY,New York,2100,40,Columbia,58582,479,47.0,17.0,2.0,209087.0,0,0,0,2,0,0,3,2,2,0,0,1,0,0
640,12174,42.35338,-73.72854,Stuyvesant Falls,NY,New York,316,116,Columbia,58582,479,47.0,3.0,0.0,195694.0,0,0,1,3,2,0,5,0,1,0,0,0,0,2
641,12175,42.55148,-74.55279,Summit,NY,New York,570,14,Schoharie,31047,59,2.0,1.0,0.0,141653.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
642,12176,42.380109999999995,-73.96705,Surprise,NY,New York,517,23,Greene,48561,263,13.0,3.0,0.0,189670.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
643,12177,42.951,-74.28714000000001,Tribes Hill,NY,New York,305,325,Montgomery,49806,121,4.0,1.0,0.0,128283.0,0,0,3,7,0,1,6,0,2,0,0,0,0,1
644,12180,42.750609999999995,-73.60221,Troy,NY,New York,53437,377,Rensselaer,160030,578,33.0,193.0,11.0,191931.0,1,0,2,4,0,0,7,6,7,0,0,4,0,2
645,12182,42.80041,-73.6329,Troy,NY,New York,14928,414,Rensselaer,160030,578,33.0,54.0,3.0,163995.0,0,0,1,2,0,0,3,3,7,0,0,0,0,1
646,12183,42.74743,-73.69256,Troy,NY,New York,2591,1354,Albany,292781,2175,109.0,19.0,1.0,147165.0,13,0,16,31,22,12,79,54,123,3,6,46,5,13
647,12184,42.4205,-73.65420999999999,Valatie,NY,New York,6871,72,Columbia,58582,479,47.0,56.0,6.0,282322.0,1,0,0,3,0,0,4,2,8,0,1,1,0,0
648,12185,42.9033,-73.53123000000001,Valley Falls,NY,New York,2262,33,Rensselaer,160030,578,33.0,8.0,0.0,208186.0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
649,12186,42.627520000000004,-73.97067,Voorheesville,NY,New York,6047,77,Albany,292781,2175,109.0,45.0,2.0,261790.0,1,0,0,3,2,0,5,1,2,0,3,0,0,0
650,12187,42.62195,-74.46226,Warnerville,NY,New York,598,12,Schoharie,31047,59,2.0,1.0,0.0,173540.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
651,12188,42.81988,-73.69582,Waterford,NY,New York,10952,327,Saratoga,222917,578,15.0,28.0,1.0,248139.0,0,0,2,1,2,0,5,3,5,0,3,1,0,1
652,12189,42.736259999999994,-73.71765,Watervliet,NY,New York,17563,1065,Albany,292781,2175,109.0,130.0,7.0,191251.0,1,1,5,11,10,9,43,21,50,4,3,8,2,9
653,12190,43.47352,-74.27331,Wells,NY,New York,851,2,Hamilton,3397,6,1.0,2.0,0.0,173775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,12192,42.4029,-73.82828,West Coxsackie,NY,New York,1954,39,Greene,48561,263,13.0,11.0,1.0,195903.0,1,0,0,0,0,10,7,6,6,0,0,2,0,1
655,12193,42.51571,-74.04495,Westerlo,NY,New York,1828,20,Albany,292781,2175,109.0,14.0,1.0,183437.0,0,1,0,1,0,0,3,1,1,1,0,0,0,0
656,12194,42.524429999999995,-74.45965,West Fulton,NY,New York,121,6,Schoharie,31047,59,2.0,0.0,0.0,140772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,12195,42.48663,-73.47102,West Lebanon,NY,New York,121,31,Columbia,58582,479,47.0,1.0,0.0,236887.0,1,0,1,1,1,0,1,1,3,0,0,0,0,0
658,12196,42.63163,-73.61695999999999,West Sand Lake,NY,New York,3371,133,Rensselaer,160030,578,33.0,12.0,1.0,254583.0,3,0,1,5,0,1,10,5,13,0,3,2,0,2
659,12197,42.61136,-74.72774,Worcester,NY,New York,2023,13,Otsego,59273,86,4.0,3.0,0.0,132293.0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
660,12198,42.67673,-73.63404,Wynantskill,NY,New York,7772,233,Rensselaer,160030,578,33.0,28.0,2.0,210884.0,0,0,2,6,0,0,5,4,4,0,0,5,0,1
661,12202,42.633790000000005,-73.76323000000001,Albany,NY,New York,9624,1818,Albany,292781,2175,109.0,71.0,4.0,95143.0,13,2,13,27,10,24,70,49,116,9,13,26,2,12
662,12203,42.68108,-73.84824,Albany,NY,New York,31251,1014,Albany,292781,2175,109.0,232.0,12.0,217012.0,4,1,8,16,41,12,92,69,189,5,5,56,1,3
663,12204,42.68802,-73.72851999999999,Albany,NY,New York,7628,698,Albany,292781,2175,109.0,57.0,3.0,205967.0,2,0,6,8,4,2,42,14,32,8,6,1,0,4
664,12205,42.71895,-73.82935,Albany,NY,New York,27212,659,Albany,292781,2175,109.0,202.0,10.0,217357.0,3,0,8,24,4,16,98,61,166,8,10,41,1,3
665,12206,42.67453,-73.78275,Albany,NY,New York,15944,2980,Albany,292781,2175,109.0,118.0,6.0,139843.0,5,0,13,27,48,38,81,60,180,6,27,92,3,17
666,12207,42.65728,-73.74608,Albany,NY,New York,1688,712,Albany,292781,2175,109.0,13.0,1.0,,19,1,43,52,13,50,117,66,157,4,17,39,5,26
667,12208,42.65331,-73.81021,Albany,NY,New York,21896,1905,Albany,292781,2175,109.0,163.0,8.0,203001.0,1,1,6,12,2,11,69,26,27,2,6,43,15,6
668,12209,42.638059999999996,-73.78992,Albany,NY,New York,9383,1825,Albany,292781,2175,109.0,70.0,3.0,168276.0,6,2,5,10,33,14,66,38,54,3,12,60,9,8
669,12210,42.66017,-73.75816,Albany,NY,New York,9706,4373,Albany,292781,2175,109.0,72.0,4.0,157724.0,21,1,49,64,40,59,126,100,165,7,20,128,33,28
670,12211,42.70583,-73.76406999999999,Albany,NY,New York,10752,551,Albany,292781,2175,109.0,80.0,4.0,313376.0,6,0,4,9,28,3,45,23,36,0,8,19,0,5
671,12222,42.68535,-73.82536999999999,Albany,NY,New York,6153,4591,Albany,292781,2175,109.0,46.0,2.0,,5,1,5,26,91,22,116,59,109,3,8,105,2,4
672,12302,42.881820000000005,-73.98203000000001,Schenectady,NY,New York,27407,252,Schenectady,168074,843,36.0,137.0,6.0,207508.0,0,0,0,0,0,0,3,1,4,0,1,0,0,0
673,12303,42.749559999999995,-73.9246,Schenectady,NY,New York,28233,750,Schenectady,168074,843,36.0,142.0,6.0,193801.0,0,0,1,6,2,4,9,7,14,5,3,3,0,3
674,12304,42.77407,-73.89725,Schenectady,NY,New York,22833,1217,Schenectady,168074,843,36.0,115.0,5.0,147351.0,1,0,12,10,4,11,31,37,94,5,8,12,0,2
675,12305,42.81215,-73.95043000000001,Schenectady,NY,New York,5059,1458,Schenectady,168074,843,36.0,25.0,1.0,139277.0,14,1,26,23,44,15,92,53,125,10,11,21,5,17
676,12306,42.804809999999996,-74.02856,Schenectady,NY,New York,26599,230,Schenectady,168074,843,36.0,133.0,6.0,179829.0,1,0,0,2,0,1,2,1,2,0,0,0,0,0
677,12307,42.80503,-73.93364,Schenectady,NY,New York,6115,4193,Schenectady,168074,843,36.0,31.0,1.0,,16,1,28,24,51,15,92,58,170,11,17,63,6,23
678,12308,42.82161,-73.92005999999999,Schenectady,NY,New York,15422,2625,Schenectady,168074,843,36.0,77.0,3.0,149653.0,7,0,24,17,35,10,84,54,99,0,9,65,12,10
679,12309,42.79916,-73.86954,Schenectady,NY,New York,30397,684,Schenectady,168074,843,36.0,152.0,7.0,258442.0,2,0,0,9,1,3,5,1,9,1,1,2,1,5
680,12401,41.9356,-74.05274,Kingston,NY,New York,35339,232,Ulster,187841,1843,81.0,347.0,15.0,213828.0,1,0,1,2,0,3,26,5,15,2,4,13,1,5
681,12404,41.81465,-74.23592,Accord,NY,New York,3306,37,Ulster,187841,1843,81.0,32.0,1.0,286390.0,1,0,0,4,0,1,0,0,1,0,0,0,0,0
682,12405,42.32139,-74.08988000000001,Acra,NY,New York,652,43,Greene,48561,263,13.0,4.0,0.0,174867.0,1,0,0,2,0,0,1,2,0,0,0,0,0,0
683,12406,42.10203,-74.55239,Arkville,NY,New York,922,8,Delaware,41659,91,4.0,2.0,0.0,157460.0,0,0,0,2,0,0,1,0,1,0,0,0,0,1
684,12407,42.317609999999995,-74.35824000000001,Ashland,NY,New York,137,20,Greene,48561,263,13.0,1.0,0.0,209890.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
685,12409,42.04364,-74.16684000000001,Bearsville,NY,New York,771,22,Ulster,187841,1843,81.0,8.0,0.0,481811.0,1,0,2,2,0,3,9,4,1,0,0,3,0,1
686,12410,42.0699,-74.44976,Big Indian,NY,New York,471,4,Ulster,187841,1843,81.0,5.0,0.0,240662.0,1,0,0,0,0,2,0,0,3,0,0,0,0,0
687,12411,41.87608,-74.04552,Bloomington,NY,New York,389,205,Ulster,187841,1843,81.0,4.0,0.0,233561.0,1,0,1,8,0,2,6,0,2,0,0,0,0,3
688,12412,42.01273,-74.27956999999999,Boiceville,NY,New York,562,43,Ulster,187841,1843,81.0,6.0,0.0,265778.0,0,0,0,3,0,2,15,3,5,0,3,9,0,2
689,12413,42.3126,-74.02125,Cairo,NY,New York,2815,70,Greene,48561,263,13.0,15.0,1.0,160872.0,0,0,0,2,1,6,1,6,5,0,0,2,0,1
690,12414,42.22399,-73.92038000000001,Catskill,NY,New York,10203,69,Greene,48561,263,13.0,55.0,3.0,179810.0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
691,12416,42.10067,-74.28871,Chichester,NY,New York,281,21,Ulster,187841,1843,81.0,3.0,0.0,224577.0,0,0,0,4,0,2,1,0,0,0,0,0,0,0
692,12417,41.90681,-73.98997,Connelly,NY,New York,429,711,Ulster,187841,1843,81.0,4.0,0.0,167774.0,7,0,4,12,5,6,46,16,32,3,6,19,3,7
693,12418,42.35877,-74.16171999999999,Cornwallville,NY,New York,573,15,Greene,48561,263,13.0,3.0,0.0,167097.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
694,12419,41.85972,-74.1034,Cottekill,NY,New York,540,117,Ulster,187841,1843,81.0,5.0,0.0,281230.0,1,0,0,4,1,1,6,1,0,0,1,0,0,0
695,12420,41.67113,-74.3793,Cragsmoor,NY,New York,318,34,Ulster,187841,1843,81.0,3.0,0.0,251748.0,0,0,0,2,0,0,4,2,0,0,0,0,0,1
696,12421,42.2486,-74.54307,Denver,NY,New York,274,10,Delaware,41659,91,4.0,1.0,0.0,192718.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
697,12422,42.39258,-74.20335,Durham,NY,New York,307,13,Greene,48561,263,13.0,2.0,0.0,174346.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
698,12423,42.37915,-74.10972,East Durham,NY,New York,1089,34,Greene,48561,263,13.0,6.0,0.0,173548.0,2,0,1,2,1,2,6,3,2,1,0,0,0,0
699,12424,42.24686,-74.13529,East Jewett,NY,New York,276,6,Greene,48561,263,13.0,1.0,0.0,223151.0,2,0,1,5,0,0,0,0,0,0,0,0,0,0
700,12427,42.14079,-74.13729000000001,Elka Park,NY,New York,392,6,Greene,48561,263,13.0,2.0,0.0,201327.0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
701,12428,41.73903,-74.44489,Ellenville,NY,New York,7022,48,Ulster,187841,1843,81.0,69.0,3.0,149018.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
702,12429,41.8291,-73.97494,Esopus,NY,New York,294,52,Ulster,187841,1843,81.0,3.0,0.0,234427.0,1,0,0,4,1,0,5,3,1,0,0,0,0,3
703,12430,42.20346,-74.49959,Fleischmanns,NY,New York,1147,12,Delaware,41659,91,4.0,3.0,0.0,207791.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
704,12431,42.36032,-74.02069,Freehold,NY,New York,1129,35,Greene,48561,263,13.0,6.0,0.0,185823.0,0,0,2,8,0,3,0,0,0,0,0,0,0,0
705,12432,42.044309999999996,-73.94445999999999,Glasco,NY,New York,431,318,Ulster,187841,1843,81.0,4.0,0.0,186149.0,0,0,0,7,0,1,5,11,16,0,0,3,1,2
706,12433,42.003370000000004,-74.15849,Glenford,NY,New York,549,49,Ulster,187841,1843,81.0,5.0,0.0,307075.0,0,0,0,0,0,0,1,2,3,0,0,0,0,0
707,12434,42.36051,-74.50076,Grand Gorge,NY,New York,754,22,Delaware,41659,91,4.0,2.0,0.0,112174.0,0,0,0,0,0,3,2,7,1,0,0,0,0,0
708,12435,41.7288,-74.51872,Greenfield Park,NY,New York,308,13,Ulster,187841,1843,81.0,3.0,0.0,188195.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
709,12436,42.19555,-74.07411,Haines Falls,NY,New York,39,11,Greene,48561,263,13.0,0.0,0.0,177016.0,0,0,0,8,0,1,2,0,2,0,0,0,0,0
710,12438,42.20791,-74.60127,Halcottsville,NY,New York,32,52,Delaware,41659,91,4.0,0.0,0.0,224724.0,0,0,0,4,0,0,2,0,2,0,0,0,0,0
711,12439,42.296079999999996,-74.18386,Hensonville,NY,New York,290,15,Greene,48561,263,13.0,2.0,0.0,211313.0,0,0,0,5,0,0,2,0,0,0,0,0,0,1
712,12440,41.77871,-74.17726,High Falls,NY,New York,1999,34,Ulster,187841,1843,81.0,20.0,1.0,281380.0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
713,12441,42.1354,-74.50854,Highmount,NY,New York,68,7,Ulster,187841,1843,81.0,1.0,0.0,271062.0,0,0,1,5,0,2,2,1,1,0,0,1,0,0
714,12442,42.21526,-74.23674,Hunter,NY,New York,785,12,Greene,48561,263,13.0,4.0,0.0,215537.0,4,0,1,11,0,4,3,3,4,0,0,1,0,0
715,12443,41.93393,-74.08538,Hurley,NY,New York,3378,82,Ulster,187841,1843,81.0,33.0,1.0,248279.0,0,0,1,1,0,0,5,2,6,0,1,0,0,0
716,12444,42.26319,-74.29672,Jewett,NY,New York,486,13,Greene,48561,263,13.0,3.0,0.0,306465.0,0,0,0,4,0,1,3,0,1,2,0,0,0,0
717,12446,41.80598,-74.32554,Kerhonkson,NY,New York,4902,29,Ulster,187841,1843,81.0,48.0,2.0,223501.0,0,0,1,0,0,3,0,3,1,0,0,0,0,0
718,12448,42.07926,-74.18288000000001,Lake Hill,NY,New York,464,13,Ulster,187841,1843,81.0,5.0,0.0,419098.0,2,0,0,1,0,2,2,0,2,0,0,0,0,0
719,12449,41.99354,-73.9931,Lake Katrine,NY,New York,3433,359,Ulster,187841,1843,81.0,34.0,1.0,219730.0,0,0,0,3,1,0,23,5,21,1,3,12,1,4
720,12450,42.13328,-74.24421,Lanesville,NY,New York,154,8,Greene,48561,263,13.0,1.0,0.0,212852.0,0,0,0,2,0,3,1,2,1,0,0,0,0,0
721,12451,42.30527,-73.95017,Leeds,NY,New York,1536,55,Greene,48561,263,13.0,8.0,0.0,180790.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
722,12452,42.25765,-74.36121999999999,Lexington,NY,New York,252,10,Greene,48561,263,13.0,1.0,0.0,173552.0,1,0,0,2,0,2,1,0,0,0,0,0,0,0
723,12453,42.09342,-73.93629,Malden On Hudson,NY,New York,291,287,Ulster,187841,1843,81.0,3.0,0.0,188662.0,1,0,1,6,3,5,10,4,6,1,3,1,0,1
724,12454,42.28669,-74.15098,Maplecrest,NY,New York,363,11,Greene,48561,263,13.0,2.0,0.0,254285.0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
725,12455,42.13973,-74.65986,Margaretville,NY,New York,1749,10,Delaware,41659,91,4.0,4.0,0.0,193915.0,2,0,3,5,0,3,10,6,19,1,1,6,1,1
726,12456,42.03324,-73.99705,Mount Marion,NY,New York,851,457,Ulster,187841,1843,81.0,8.0,0.0,,0,0,0,5,0,1,3,1,5,0,2,0,0,0
727,12457,42.04407,-74.2525,Mount Tremper,NY,New York,893,22,Ulster,187841,1843,81.0,9.0,0.0,384522.0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
728,12458,41.81572,-74.41995,Napanoch,NY,New York,2804,39,Ulster,187841,1843,81.0,28.0,1.0,160040.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
729,12459,42.236509999999996,-74.68027,New Kingston,NY,New York,196,9,Delaware,41659,91,4.0,0.0,0.0,222352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,12460,42.41081,-74.15606,Oak Hill,NY,New York,373,52,Greene,48561,263,13.0,2.0,0.0,167174.0,4,0,0,2,0,2,3,3,2,0,0,0,0,1
731,12461,41.90889,-74.26928000000001,Olivebridge,NY,New York,1718,27,Ulster,187841,1843,81.0,17.0,1.0,313150.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
732,12463,42.19997,-74.01727,Palenville,NY,New York,1594,53,Greene,48561,263,13.0,9.0,0.0,186253.0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
733,12464,42.03515,-74.35126,Phoenicia,NY,New York,653,9,Ulster,187841,1843,81.0,6.0,0.0,239293.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
734,12465,42.1531,-74.46732,Pine Hill,NY,New York,199,36,Ulster,187841,1843,81.0,2.0,0.0,237696.0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
735,12466,41.90425,-73.97908000000001,Port Ewen,NY,New York,2402,920,Ulster,187841,1843,81.0,24.0,1.0,231621.0,7,0,4,12,5,6,25,16,30,2,4,2,0,5
736,12468,42.29895,-74.42300999999999,Prattsville,NY,New York,1069,10,Greene,48561,263,13.0,6.0,0.0,182634.0,1,0,0,4,0,0,3,1,4,0,0,0,0,0
737,12469,42.447140000000005,-74.23916,Preston Hollow,NY,New York,605,8,Albany,292781,2175,109.0,4.0,0.0,166875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,12470,42.29586,-74.07715,Purling,NY,New York,480,22,Greene,48561,263,13.0,3.0,0.0,170672.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
739,12471,41.84147,-74.04122,Rifton,NY,New York,252,238,Ulster,187841,1843,81.0,2.0,0.0,246534.0,0,0,0,4,1,1,6,1,1,0,1,0,0,0
740,12472,41.846070000000005,-74.07874,Rosendale,NY,New York,1472,171,Ulster,187841,1843,81.0,14.0,1.0,239585.0,5,0,4,4,2,4,12,12,17,0,0,3,0,2
