,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
403,33021,26.02334,-80.18758000000001,Hollywood,FL,Florida,49350,2037,Broward,1909151,23781,419.0,615.0,11.0,300371.0,8,0,4,36,14,18,146,61,180,5,19,157,27,11
404,33023,25.98941,-80.21534,Hollywood,FL,Florida,73671,2549,Broward,1909151,23781,419.0,918.0,16.0,288270.0,9,0,4,14,5,15,102,36,165,0,9,21,1,12
405,33024,26.026970000000002,-80.24528000000001,Hollywood,FL,Florida,75306,2301,Broward,1909151,23781,419.0,938.0,17.0,305487.0,3,0,17,15,3,12,104,50,110,2,13,101,3,6
406,33025,25.98743,-80.28139,Hollywood,FL,Florida,71763,2149,Broward,1909151,23781,419.0,894.0,16.0,266959.0,9,0,6,16,16,13,65,37,111,13,11,34,5,3
407,33026,26.02594,-80.29643,Hollywood,FL,Florida,31045,2429,Broward,1909151,23781,419.0,387.0,7.0,302766.0,2,0,7,22,5,10,86,74,146,8,7,92,5,3
408,33027,25.98245,-80.34359,Hollywood,FL,Florida,60191,1667,Broward,1909151,23781,419.0,750.0,13.0,324272.0,4,1,7,12,14,8,104,37,77,5,7,26,2,3
409,33028,26.01853,-80.34488,Pembroke Pines,FL,Florida,27235,1793,Broward,1909151,23781,419.0,339.0,6.0,439901.0,7,0,10,31,4,10,64,64,183,4,8,22,3,5
410,33029,25.99236,-80.40889,Hollywood,FL,Florida,47895,1006,Broward,1909151,23781,419.0,597.0,11.0,450428.0,3,0,3,6,3,1,16,5,13,1,4,6,0,5
411,33030,25.48471,-80.50998,Homestead,FL,Florida,35701,717,Miami-Dade,2715526,53974,1068.0,710.0,14.0,271230.0,0,0,1,1,0,2,2,4,7,0,1,0,0,0
412,33031,25.52754,-80.50111,Homestead,FL,Florida,7387,106,Miami-Dade,2715526,53974,1068.0,147.0,3.0,471786.0,0,0,1,11,1,1,4,3,7,0,0,0,0,1
413,33032,25.53021,-80.39188,Homestead,FL,Florida,47067,700,Miami-Dade,2715526,53974,1068.0,936.0,19.0,280964.0,2,0,1,5,8,3,10,8,16,2,1,0,0,4
414,33033,25.48372,-80.41360999999999,Homestead,FL,Florida,58224,1125,Miami-Dade,2715526,53974,1068.0,1157.0,23.0,258868.0,1,0,1,8,3,2,52,16,59,2,4,37,4,1
415,33034,25.28495,-80.62434,Homestead,FL,Florida,23281,26,Miami-Dade,2715526,53974,1068.0,463.0,9.0,167383.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
416,33035,25.41734,-80.39903000000001,Homestead,FL,Florida,15658,251,Miami-Dade,2715526,53974,1068.0,311.0,6.0,174059.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,33036,24.923029999999997,-80.63795,Islamorada,FL,Florida,3274,200,Monroe,76308,427,6.0,18.0,0.0,906364.0,4,0,9,22,2,16,10,34,39,2,0,4,0,1
418,33037,25.20121,-80.38374,Key Largo,FL,Florida,10955,133,Monroe,76308,427,6.0,61.0,1.0,628892.0,0,0,2,1,0,1,0,1,0,0,0,0,0,0
419,33039,25.5021,-80.39968,Homestead,FL,Florida,356,156,Miami-Dade,2715526,53974,1068.0,7.0,0.0,,0,0,2,8,4,4,7,12,38,0,0,4,1,2
420,33040,24.58549,-81.75449,Key West,FL,Florida,34784,687,Monroe,76308,427,6.0,195.0,3.0,669111.0,7,0,6,26,6,22,37,9,19,2,6,19,4,2
421,33042,24.67645,-81.50992,Summerland Key,FL,Florida,6524,89,Monroe,76308,427,6.0,37.0,1.0,617736.0,0,0,2,2,0,2,2,1,4,1,0,0,0,0
422,33043,24.70334,-81.36636,Big Pine Key,FL,Florida,4928,113,Monroe,76308,427,6.0,28.0,0.0,462153.0,0,0,1,6,0,1,1,0,6,0,0,0,0,0
423,33050,24.72843,-81.03404,Marathon,FL,Florida,9433,379,Monroe,76308,427,6.0,53.0,1.0,535620.0,3,0,7,20,0,20,21,13,42,3,0,9,2,1
424,33051,24.72319,-81.02152,Key Colony Beach,FL,Florida,569,704,Monroe,76308,427,6.0,3.0,0.0,640819.0,1,0,5,22,1,17,16,15,32,4,0,8,2,1
425,33054,25.90691,-80.25825,Opa Locka,FL,Florida,32035,1280,Miami-Dade,2715526,53974,1068.0,637.0,13.0,257829.0,6,0,5,6,24,14,36,16,59,0,8,5,2,1
