,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
204,98365,47.895140000000005,-122.70283,Port Ludlow,WA,Washington,4962,48,Jefferson,29295,41,0.0,7.0,0.0,463164.0,0,0,0,1,0,1,3,1,1,0,0,3,0,0
205,98366,47.53715,-122.58652,Port Orchard,WA,Washington,33618,571,Kitsap,262475,261,2.0,33.0,0.0,360726.0,6,0,4,8,1,4,10,15,30,4,2,7,1,1
206,98367,47.46508,-122.68313,Port Orchard,WA,Washington,29137,133,Kitsap,262475,261,2.0,29.0,0.0,424140.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
207,98368,48.04272,-122.84534,Port Townsend,WA,Washington,15848,107,Jefferson,29295,41,0.0,22.0,0.0,421325.0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
208,98370,47.75101,-122.62291,Poulsbo,WA,Washington,31206,202,Kitsap,262475,261,2.0,31.0,0.0,480719.0,4,0,1,6,1,3,91,18,47,3,3,76,3,6
209,98371,47.19955,-122.32218,Puyallup,WA,Washington,21305,686,Pierce,851739,2932,111.0,73.0,3.0,432857.0,0,0,4,10,2,3,36,13,59,2,3,12,1,3
210,98372,47.20602,-122.26691000000001,Puyallup,WA,Washington,25487,637,Pierce,851739,2932,111.0,88.0,3.0,444627.0,2,0,9,8,1,2,65,19,87,8,2,26,2,2
211,98373,47.1476,-122.32518999999999,Puyallup,WA,Washington,25068,914,Pierce,851739,2932,111.0,86.0,3.0,405626.0,1,0,3,7,0,2,51,7,47,5,5,30,0,4
212,98374,47.12996,-122.26195,Puyallup,WA,Washington,39985,910,Pierce,851739,2932,111.0,138.0,5.0,407435.0,1,0,0,1,0,2,13,5,17,5,5,0,0,4
213,98375,47.10367,-122.32343999999999,Puyallup,WA,Washington,30972,1068,Pierce,851739,2932,111.0,107.0,4.0,383014.0,1,0,5,5,1,4,14,4,31,8,6,5,0,5
214,98376,47.8512,-122.86206999999999,Quilcene,WA,Washington,1816,7,Jefferson,29295,41,0.0,3.0,0.0,341763.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,98377,46.52518,-121.8948,Randle,WA,Washington,1518,4,Lewis,78320,79,3.0,2.0,0.0,209615.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,98380,47.57555,-122.90221000000001,Seabeck,WA,Washington,4288,39,Kitsap,262475,261,2.0,4.0,0.0,498110.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
217,98381,48.27373,-124.47476,Sekiu,WA,Washington,333,3,Clallam,76048,46,0.0,0.0,0.0,201623.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,98382,48.02748,-123.07862,Sequim,WA,Washington,28326,61,Clallam,76048,46,0.0,17.0,0.0,382041.0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
