,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
0,90001,33.97397,-118.24953000000001,Los Angeles,CA,California,58975,6296,Los Angeles,10091497,123004,3642.0,719.0,21.0,428566.0,15,0,8,10,8,6,77,59,131,0,21,13,0,10
1,90002,33.949059999999996,-118.24673,Los Angeles,CA,California,53111,6459,Los Angeles,10091497,123004,3642.0,647.0,19.0,420987.0,10,0,6,10,7,3,73,36,78,0,25,8,3,16
2,90003,33.96411,-118.2737,Los Angeles,CA,California,72741,7205,Los Angeles,10091497,123004,3642.0,887.0,26.0,447365.0,10,0,9,4,7,4,99,44,131,0,28,20,0,30
3,90004,34.076209999999996,-118.31083999999998,Los Angeles,CA,California,61586,7877,Los Angeles,10091497,123004,3642.0,751.0,22.0,1384333.0,55,3,57,69,58,88,110,209,163,28,56,136,2,31
4,90005,34.05915,-118.30643,Los Angeles,CA,California,39479,13422,Los Angeles,10091497,123004,3642.0,481.0,14.0,939731.0,33,3,56,69,69,75,139,198,185,37,70,143,4,41
5,90006,34.04801,-118.29418000000001,Los Angeles,CA,California,61698,11904,Los Angeles,10091497,123004,3642.0,752.0,22.0,722894.0,23,1,58,65,64,66,142,231,166,31,67,130,8,54
6,90007,34.02809,-118.28488999999999,Los Angeles,CA,California,41716,6404,Los Angeles,10091497,123004,3642.0,508.0,15.0,807645.0,59,0,19,60,154,48,121,155,136,32,70,77,1,39
7,90008,34.00956,-118.34706000000001,Los Angeles,CA,California,31739,3399,Los Angeles,10091497,123004,3642.0,387.0,11.0,925868.0,12,1,5,22,8,14,96,60,164,9,14,33,3,13
8,90010,34.06212,-118.31621000000001,Los Angeles,CA,California,3702,3209,Los Angeles,10091497,123004,3642.0,45.0,1.0,976450.0,27,3,59,64,44,62,116,179,158,30,59,129,7,29
9,90011,34.00714,-118.25873999999999,Los Angeles,CA,California,109414,9360,Los Angeles,10091497,123004,3642.0,1334.0,39.0,477214.0,6,0,4,13,6,3,74,44,84,0,32,21,2,25
10,90012,34.06599,-118.23823,Los Angeles,CA,California,35913,3712,Los Angeles,10091497,123004,3642.0,438.0,13.0,623784.0,73,4,38,105,20,111,136,111,121,27,25,92,10,35
11,90013,34.04481,-118.24033,Los Angeles,CA,California,11937,6775,Los Angeles,10091497,123004,3642.0,145.0,4.0,623495.0,106,7,147,166,53,146,203,224,196,79,49,154,9,34
12,90014,34.043079999999996,-118.25169,Los Angeles,CA,California,8335,9551,Los Angeles,10091497,123004,3642.0,102.0,3.0,622914.0,108,7,165,173,58,129,0,248,198,106,64,182,28,40
13,90015,34.039390000000004,-118.26645,Los Angeles,CA,California,21801,4286,Los Angeles,10091497,123004,3642.0,266.0,8.0,696638.0,54,4,126,123,50,116,167,219,179,86,80,139,24,39
14,90016,34.02872,-118.3546,Los Angeles,CA,California,46581,5067,Los Angeles,10091497,123004,3642.0,568.0,17.0,853704.0,23,1,7,21,6,24,74,90,133,9,21,27,2,17
15,90017,34.05291,-118.2643,Los Angeles,CA,California,26728,12636,Los Angeles,10091497,123004,3642.0,326.0,10.0,750860.0,88,6,140,167,62,141,214,243,195,102,67,159,27,49
16,90018,34.02887,-118.3172,Los Angeles,CA,California,53256,6575,Los Angeles,10091497,123004,3642.0,649.0,19.0,780838.0,11,2,9,15,14,17,98,66,144,3,30,28,4,34
17,90019,34.04864,-118.33868000000001,Los Angeles,CA,California,66245,6401,Los Angeles,10091497,123004,3642.0,807.0,24.0,1199648.0,37,3,25,47,14,37,95,137,164,18,39,72,2,19
18,90020,34.066390000000006,-118.3099,Los Angeles,CA,California,39102,13311,Los Angeles,10091497,123004,3642.0,477.0,14.0,690220.0,32,3,67,70,51,77,123,227,187,39,65,138,2,35
19,90021,34.029309999999995,-118.23873,Los Angeles,CA,California,2922,737,Los Angeles,10091497,123004,3642.0,36.0,1.0,800329.0,53,4,35,56,18,36,108,112,152,14,22,71,3,17
20,90022,34.02452,-118.15608999999999,Los Angeles,CA,California,65890,5920,Los Angeles,10091497,123004,3642.0,803.0,24.0,501121.0,5,0,5,18,36,12,88,94,152,1,21,68,2,6
21,90023,34.02276,-118.1999,Los Angeles,CA,California,46780,4196,Los Angeles,10091497,123004,3642.0,570.0,17.0,495348.0,5,0,12,7,6,6,71,71,131,1,25,29,3,11
22,90024,34.06568,-118.43506000000001,Los Angeles,CA,California,50288,6240,Los Angeles,10091497,123004,3642.0,613.0,18.0,1434015.0,39,3,20,77,152,61,163,125,182,61,58,159,36,16
23,90025,34.04544,-118.44586000000001,Los Angeles,CA,California,47967,6334,Los Angeles,10091497,123004,3642.0,585.0,17.0,1063503.0,48,7,42,118,58,86,156,246,197,37,73,101,15,21
24,90026,34.07927,-118.26301000000001,Los Angeles,CA,California,69589,6204,Los Angeles,10091497,123004,3642.0,848.0,25.0,1008631.0,32,0,34,98,13,37,97,125,149,9,29,99,8,34
25,90027,34.125209999999996,-118.29057,Los Angeles,CA,California,44686,2144,Los Angeles,10091497,123004,3642.0,545.0,16.0,1582174.0,12,0,4,74,3,7,33,16,33,7,5,7,0,2
