,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
0,7001,40.58338,-74.27004000000001,Avenel,NJ,New Jersey,18307,1672,Middlesex,808852,16956,1348.0,384.0,31.0,288551.0,6,0,8,13,4,11,68,45,90,12,6,21,0,10
1,7002,40.664640000000006,-74.10868,Bayonne,NJ,New Jersey,65300,4162,Hudson,668631,19024,1462.0,1858.0,143.0,397518.0,4,0,14,47,6,15,124,85,182,4,18,161,12,22
2,7003,40.81002,-74.18679,Bloomfield,NJ,New Jersey,48810,3438,Essex,794249,18920,2046.0,1163.0,126.0,380121.0,8,0,10,50,28,12,111,94,126,6,27,133,9,11
3,7004,40.88278,-74.30415,Fairfield,NJ,New Jersey,7331,284,Essex,794249,18920,2046.0,175.0,19.0,525693.0,13,0,5,31,7,7,73,38,137,1,8,23,0,2
4,7005,40.92947,-74.42099,Boonton,NJ,New Jersey,15095,314,Morris,484502,6854,810.0,214.0,25.0,461031.0,1,1,1,6,3,1,12,2,2,1,0,1,0,1
5,7006,40.85215,-74.28166999999999,Caldwell,NJ,New Jersey,25529,1022,Essex,794249,18920,2046.0,608.0,66.0,553046.0,4,0,11,25,5,3,97,58,121,4,15,60,6,8
6,7008,40.584740000000004,-74.22843,Carteret,NJ,New Jersey,23682,1994,Middlesex,808852,16956,1348.0,496.0,39.0,308090.0,4,0,8,23,15,4,65,30,65,8,9,14,2,4
7,7009,40.85651,-74.22874,Cedar Grove,NJ,New Jersey,12531,1132,Essex,794249,18920,2046.0,299.0,32.0,500258.0,5,0,3,27,5,5,72,21,51,5,9,28,5,5
8,7010,40.822109999999995,-73.98794000000001,Cliffside Park,NJ,New Jersey,24883,9544,Bergen,929999,19732,2010.0,528.0,54.0,512100.0,10,1,21,72,6,25,119,131,176,14,32,151,8,16
9,7011,40.87847,-74.14475999999999,Clifton,NJ,New Jersey,40173,4631,Passaic,503192,16978,1204.0,1355.0,96.0,365839.0,2,1,25,27,15,15,91,105,166,4,29,105,5,23
10,7012,40.84745,-74.15983,Clifton,NJ,New Jersey,12181,2152,Passaic,503192,16978,1204.0,411.0,29.0,395794.0,6,1,17,35,4,14,118,74,179,7,16,161,13,12
11,7013,40.86911,-74.17274,Clifton,NJ,New Jersey,26950,2399,Passaic,503192,16978,1204.0,909.0,64.0,396422.0,3,1,6,31,17,21,118,48,178,7,16,152,8,12
12,7014,40.83149,-74.1355,Clifton,NJ,New Jersey,4971,1438,Passaic,503192,16978,1204.0,168.0,12.0,372956.0,8,0,15,49,10,31,70,78,161,11,16,64,7,6
13,7016,40.65643,-74.30357,Cranford,NJ,New Jersey,23882,1812,Union,574949,16443,1330.0,683.0,55.0,525093.0,6,1,20,57,21,12,82,66,154,3,19,66,3,18
14,7017,40.77217,-74.20708,East Orange,NJ,New Jersey,35731,6164,Essex,794249,18920,2046.0,851.0,92.0,278722.0,5,0,7,21,15,20,107,86,159,6,36,73,4,28
15,7018,40.75588,-74.21778,East Orange,NJ,New Jersey,28756,6451,Essex,794249,18920,2046.0,685.0,74.0,276749.0,18,0,7,13,14,18,111,51,139,6,38,96,21,33
16,7020,40.82366,-73.97397,Edgewater,NJ,New Jersey,12184,4595,Bergen,929999,19732,2010.0,259.0,26.0,543582.0,18,1,25,86,70,47,98,169,128,23,49,94,6,23
17,7021,40.82687,-74.27973,Essex Fells,NJ,New Jersey,2180,579,Essex,794249,18920,2046.0,52.0,6.0,911771.0,16,0,5,19,24,4,92,43,63,1,14,39,3,9
18,7022,40.81818,-74.00220999999999,Fairview,NJ,New Jersey,14269,6335,Bergen,929999,19732,2010.0,303.0,31.0,454609.0,6,1,24,68,5,27,113,146,188,11,31,149,6,15
19,7023,40.641729999999995,-74.38568000000001,Fanwood,NJ,New Jersey,7602,2110,Union,574949,16443,1330.0,217.0,18.0,479090.0,11,2,6,35,8,7,114,53,155,4,20,57,4,8
20,7024,40.8508,-73.97123,Fort Lee,NJ,New Jersey,37008,5393,Bergen,929999,19732,2010.0,785.0,80.0,576301.0,4,0,12,51,4,36,123,142,170,15,26,128,5,17
21,7026,40.87859,-74.10813,Garfield,NJ,New Jersey,31697,5392,Bergen,929999,19732,2010.0,673.0,69.0,385426.0,4,0,22,42,15,14,82,84,163,2,34,54,5,30
22,7027,40.651379999999996,-74.32311999999999,Garwood,NJ,New Jersey,4334,2507,Union,574949,16443,1330.0,124.0,10.0,400893.0,4,2,13,56,20,15,133,92,180,6,22,130,4,18
23,7028,40.80407,-74.20433,Glen Ridge,NJ,New Jersey,7685,2289,Essex,794249,18920,2046.0,183.0,20.0,699001.0,26,1,23,97,38,21,141,134,174,7,49,164,11,38
24,7029,40.7437,-74.15396,Harrison,NJ,New Jersey,18889,4728,Hudson,668631,19024,1462.0,537.0,41.0,430871.0,15,0,41,88,66,91,126,152,182,10,49,140,11,33
25,7030,40.74524,-74.03217,Hoboken,NJ,New Jersey,53211,15512,Hudson,668631,19024,1462.0,1514.0,116.0,710797.0,22,7,74,146,70,116,144,163,161,52,75,160,10,34
26,7031,40.78748,-74.12719,North Arlington,NJ,New Jersey,15724,2391,Bergen,929999,19732,2010.0,334.0,34.0,404648.0,8,0,8,43,3,19,87,59,140,2,19,81,2,11
27,7032,40.75377,-74.12033000000001,Kearny,NJ,New Jersey,41523,1776,Hudson,668631,19024,1462.0,1181.0,91.0,368583.0,0,0,2,3,1,14,30,8,24,2,2,1,0,1
28,7033,40.67811,-74.28901,Kenilworth,NJ,New Jersey,8160,1421,Union,574949,16443,1330.0,233.0,19.0,456289.0,5,0,7,46,4,6,105,104,184,10,18,102,3,7
29,7034,40.8797,-74.37996,Lake Hiawatha,NJ,New Jersey,8964,2892,Morris,484502,6854,810.0,127.0,15.0,329385.0,12,0,10,16,6,7,91,54,93,7,10,58,3,4
30,7035,40.92537,-74.3049,Lincoln Park,NJ,New Jersey,10552,609,Morris,484502,6854,810.0,149.0,18.0,350124.0,3,0,3,13,0,4,40,16,43,2,3,19,1,4
31,7036,40.62529,-74.23888000000001,Linden,NJ,New Jersey,43607,1491,Union,574949,16443,1330.0,1247.0,101.0,324973.0,5,0,11,12,4,18,73,46,169,6,6,20,0,8
32,7039,40.7855,-74.32908,Livingston,NJ,New Jersey,29698,821,Essex,794249,18920,2046.0,707.0,77.0,626219.0,17,0,4,34,6,4,125,57,161,3,23,83,1,8
33,7040,40.7306,-74.2696,Maplewood,NJ,New Jersey,24471,2646,Essex,794249,18920,2046.0,583.0,63.0,590392.0,18,0,6,66,10,13,113,108,154,8,36,127,5,16
34,7041,40.723079999999996,-74.30068,Millburn,NJ,New Jersey,7075,1995,Essex,794249,18920,2046.0,169.0,18.0,806423.0,9,1,8,55,5,14,148,77,141,5,21,162,1,10
35,7042,40.81369,-74.21766,Montclair,NJ,New Jersey,26029,2644,Essex,794249,18920,2046.0,620.0,67.0,597119.0,24,1,20,74,12,13,125,104,161,4,42,154,8,30
