,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
0,98001,47.309979999999996,-122.26521000000001,Auburn,WA,Washington,32625,663,King,2175990,11284,628.0,169.0,9.0,438199.0,3,0,1,12,0,1,19,14,104,4,0,4,0,6
1,98002,47.30836,-122.21638999999999,Auburn,WA,Washington,34508,1699,King,2175990,11284,628.0,179.0,10.0,360468.0,6,0,6,19,7,16,149,58,160,4,10,132,6,12
2,98003,47.30513,-122.31508000000001,Federal Way,WA,Washington,49860,1466,King,2175990,11284,628.0,259.0,14.0,395000.0,6,1,9,43,8,29,178,117,191,15,20,196,17,10
3,98004,47.618840000000006,-122.20595,Bellevue,WA,Washington,35034,1533,King,2175990,11284,628.0,182.0,10.0,1642862.0,14,4,39,110,15,89,167,103,216,49,25,191,29,10
4,98005,47.614779999999996,-122.16861999999999,Bellevue,WA,Washington,18765,911,King,2175990,11284,628.0,97.0,5.0,1107918.0,10,2,18,92,18,63,147,82,131,27,48,173,26,11
5,98006,47.55748,-122.15081,Bellevue,WA,Washington,37769,1312,King,2175990,11284,628.0,196.0,11.0,1066697.0,2,0,5,17,5,3,31,7,20,5,15,7,0,5
6,98007,47.61446,-122.14381000000002,Bellevue,WA,Washington,29174,2191,King,2175990,11284,628.0,151.0,8.0,758797.0,11,0,8,58,14,30,125,121,192,16,46,138,6,19
7,98008,47.605270000000004,-122.11098,Bellevue,WA,Washington,25539,1707,King,2175990,11284,628.0,132.0,7.0,889388.0,6,0,4,17,4,1,35,17,31,3,8,10,0,7
8,98010,47.31308,-122.00053999999999,Black Diamond,WA,Washington,5485,129,King,2175990,11284,628.0,28.0,2.0,492076.0,1,0,4,4,0,0,10,8,13,1,2,4,0,2
9,98011,47.753370000000004,-122.20191000000001,Bothell,WA,Washington,33109,1376,King,2175990,11284,628.0,172.0,10.0,696930.0,13,0,16,32,21,15,118,40,117,11,18,63,3,11
10,98012,47.84151,-122.19908999999998,Bothell,WA,Washington,64417,1290,Snohomish,768219,3788,178.0,318.0,15.0,632145.0,4,1,4,16,5,5,77,37,106,14,10,34,0,5
11,98014,47.66122,-121.89445,Carnation,WA,Washington,6911,58,King,2175990,11284,628.0,36.0,2.0,690116.0,3,0,1,3,0,1,6,4,2,0,1,0,0,2
12,98019,47.73961,-121.84941,Duvall,WA,Washington,11811,55,King,2175990,11284,628.0,61.0,3.0,656970.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,98020,47.80022,-122.37266000000001,Edmonds,WA,Washington,20322,1365,Snohomish,768219,3788,178.0,100.0,5.0,825029.0,7,1,16,38,2,16,86,47,181,6,6,28,2,10
14,98021,47.79257,-122.20818,Bothell,WA,Washington,30753,1021,Snohomish,768219,3788,178.0,152.0,7.0,708048.0,5,1,7,16,3,12,134,68,145,4,15,98,5,1
15,98022,47.15033,-121.65485,Enumclaw,WA,Washington,21218,20,King,2175990,11284,628.0,110.0,6.0,457895.0,0,0,2,0,0,0,2,1,3,0,0,0,0,0
16,98023,47.30877,-122.3627,Federal Way,WA,Washington,50283,1776,King,2175990,11284,628.0,261.0,15.0,435367.0,2,0,4,9,1,3,43,27,71,6,7,17,1,6
17,98024,47.57493,-121.90111999999999,Fall City,WA,Washington,6658,92,King,2175990,11284,628.0,35.0,2.0,764883.0,2,0,4,9,0,1,9,6,18,0,3,5,1,2
18,98026,47.83546,-122.33171999999999,Edmonds,WA,Washington,36729,1490,Snohomish,768219,3788,178.0,181.0,9.0,598799.0,5,0,4,10,7,2,78,26,112,4,12,41,2,7
19,98027,47.50139,-121.99933,Issaquah,WA,Washington,30250,181,King,2175990,11284,628.0,157.0,9.0,783347.0,0,0,0,6,0,0,1,0,4,0,0,1,0,0
20,98028,47.75423,-122.24755,Kenmore,WA,Washington,22516,1399,King,2175990,11284,628.0,117.0,6.0,712240.0,4,1,10,20,5,11,72,24,81,9,6,39,2,6
21,98029,47.558479999999996,-122.00546000000001,Issaquah,WA,Washington,28727,1051,King,2175990,11284,628.0,149.0,8.0,769814.0,7,0,4,36,2,4,61,18,53,10,13,23,1,5
22,98030,47.36821,-122.19736,Kent,WA,Washington,37808,1829,King,2175990,11284,628.0,196.0,11.0,436702.0,5,0,5,8,4,4,76,25,102,7,6,46,2,7
23,98031,47.404920000000004,-122.19561999999999,Kent,WA,Washington,36750,1883,King,2175990,11284,628.0,191.0,11.0,464023.0,4,0,8,6,2,4,31,28,56,11,6,11,0,5
24,98032,47.392340000000004,-122.25871000000001,Kent,WA,Washington,38016,781,King,2175990,11284,628.0,197.0,11.0,395874.0,7,0,6,25,4,9,83,34,158,9,4,30,1,2
25,98033,47.67613,-122.19232,Kirkland,WA,Washington,39075,1440,King,2175990,11284,628.0,203.0,11.0,1075187.0,11,2,17,62,7,25,98,84,193,14,22,69,2,13
26,98034,47.71578,-122.21582,Kirkland,WA,Washington,43119,1723,King,2175990,11284,628.0,224.0,12.0,697966.0,8,0,5,27,5,21,85,42,86,16,16,44,3,4
27,98036,47.81113,-122.28161999999999,Lynnwood,WA,Washington,39766,1438,Snohomish,768219,3788,178.0,196.0,9.0,564835.0,8,1,6,30,8,31,158,69,137,11,16,201,3,10
28,98037,47.839220000000005,-122.28541000000001,Lynnwood,WA,Washington,29402,1803,Snohomish,768219,3788,178.0,145.0,7.0,548550.0,4,1,7,30,4,22,153,111,173,15,13,197,3,11
29,98038,47.41741,-121.95374,Maple Valley,WA,Washington,35568,181,King,2175990,11284,628.0,184.0,10.0,525513.0,0,0,2,4,0,0,2,0,2,0,0,0,0,0
30,98039,47.63306,-122.23962,Medina,WA,Washington,3260,796,King,2175990,11284,628.0,17.0,1.0,3009226.0,0,0,0,16,1,6,8,3,8,1,3,1,0,2
31,98040,47.56612,-122.23198000000001,Mercer Island,WA,Washington,25492,1374,King,2175990,11284,628.0,132.0,7.0,1650106.0,7,0,1,19,7,4,54,8,35,4,12,21,1,6
32,98042,47.366240000000005,-122.11716000000001,Kent,WA,Washington,47927,593,King,2175990,11284,628.0,249.0,14.0,478205.0,1,0,4,5,1,2,86,46,123,7,8,54,4,6
33,98043,47.792,-122.30742,Mountlake Terrace,WA,Washington,21126,1883,Snohomish,768219,3788,178.0,104.0,5.0,476422.0,5,1,7,30,3,13,77,45,135,15,13,56,4,10
34,98045,47.39159,-121.63471000000001,North Bend,WA,Washington,14795,16,King,2175990,11284,628.0,77.0,4.0,621380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,98047,47.26208,-122.24756000000001,Pacific,WA,Washington,7023,1014,King,2175990,11284,628.0,36.0,2.0,378999.0,1,0,4,10,1,3,31,18,60,3,2,8,2,8
36,98050,47.54399,-121.94041000000001,Preston,WA,Washington,552,38,King,2175990,11284,628.0,3.0,0.0,875314.0,1,0,0,8,0,0,5,1,5,1,0,2,0,1
37,98051,47.34073,-121.88743000000001,Ravensdale,WA,Washington,4333,25,King,2175990,11284,628.0,22.0,1.0,610090.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
38,98052,47.681309999999996,-122.12031,Redmond,WA,Washington,67779,1122,King,2175990,11284,628.0,351.0,20.0,878563.0,10,0,15,100,5,34,161,74,196,29,38,197,10,14
39,98053,47.66565,-122.01947,Redmond,WA,Washington,22175,256,King,2175990,11284,628.0,115.0,6.0,925958.0,1,0,1,12,2,0,5,1,3,2,1,1,0,3
