,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
604,33545,28.26967,-82.29026999999999,Wesley Chapel,FL,Florida,18522,184,Pasco,489882,3193,26.0,121.0,1.0,248020.0,0,0,5,14,0,0,4,5,18,4,1,1,0,0
605,33547,27.776320000000002,-82.13382,Lithia,FL,Florida,24813,53,Hillsborough,1404122,16099,163.0,284.0,3.0,340038.0,0,0,0,5,0,2,0,1,0,0,0,0,0,0
606,33548,28.138540000000003,-82.48207,Lutz,FL,Florida,7063,287,Hillsborough,1404122,16099,163.0,81.0,1.0,390483.0,7,0,2,14,4,0,61,13,33,2,4,34,1,5
607,33549,28.14055,-82.44643,Lutz,FL,Florida,18015,530,Hillsborough,1404122,16099,163.0,207.0,2.0,280841.0,8,0,6,14,3,1,29,22,42,4,6,7,0,6
608,33556,28.141379999999998,-82.59411,Odessa,FL,Florida,22978,232,Hillsborough,1404122,16099,163.0,263.0,3.0,419782.0,1,0,3,4,0,0,5,3,8,0,0,1,0,0
609,33558,28.15881,-82.51562,Lutz,FL,Florida,22843,446,Hillsborough,1404122,16099,163.0,262.0,3.0,358913.0,5,0,4,6,0,3,20,6,8,2,10,2,0,1
610,33559,28.15525,-82.41117,Lutz,FL,Florida,17731,472,Hillsborough,1404122,16099,163.0,203.0,2.0,243643.0,0,0,1,3,0,3,4,1,4,1,0,2,0,4
611,33563,28.017090000000003,-82.12461,Plant City,FL,Florida,27875,667,Hillsborough,1404122,16099,163.0,320.0,3.0,179130.0,4,1,7,14,5,8,91,34,114,1,10,63,8,16
612,33565,28.09511,-82.15236,Plant City,FL,Florida,17311,80,Hillsborough,1404122,16099,163.0,198.0,2.0,273570.0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
613,33566,27.992759999999997,-82.11636,Plant City,FL,Florida,20602,329,Hillsborough,1404122,16099,163.0,236.0,2.0,241796.0,4,0,2,15,9,5,70,41,111,3,4,46,3,2
614,33567,27.922009999999997,-82.12162,Plant City,FL,Florida,12318,106,Hillsborough,1404122,16099,163.0,141.0,1.0,242765.0,0,0,0,3,0,3,2,5,1,0,0,0,0,1
615,33569,27.84514,-82.28718,Riverview,FL,Florida,27428,614,Hillsborough,1404122,16099,163.0,314.0,3.0,259492.0,3,0,2,10,2,2,31,7,36,1,7,17,1,3
616,33570,27.689909999999998,-82.45855,Ruskin,FL,Florida,27821,204,Hillsborough,1404122,16099,163.0,319.0,3.0,215584.0,1,0,1,4,0,1,4,0,6,2,0,0,0,0
617,33572,27.7629,-82.4105,Apollo Beach,FL,Florida,18998,347,Hillsborough,1404122,16099,163.0,218.0,2.0,305675.0,1,1,6,16,0,4,41,24,72,5,5,21,0,6
618,33573,27.723640000000003,-82.35938,Sun City Center,FL,Florida,22412,420,Hillsborough,1404122,16099,163.0,257.0,3.0,199721.0,4,0,4,7,2,7,108,16,73,13,2,82,7,6
619,33576,28.32589,-82.32911,San Antonio,FL,Florida,4654,93,Pasco,489882,3193,26.0,30.0,0.0,221389.0,0,0,0,3,2,2,6,4,5,0,0,0,0,0
620,33578,27.863290000000003,-82.34943,Riverview,FL,Florida,49634,658,Hillsborough,1404122,16099,163.0,569.0,6.0,223503.0,2,0,5,4,1,3,13,5,35,10,2,4,0,1
621,33579,27.796540000000004,-82.28746,Riverview,FL,Florida,34271,465,Hillsborough,1404122,16099,163.0,393.0,4.0,255651.0,2,0,0,14,1,0,6,4,21,3,3,1,0,5
622,33584,28.008640000000003,-82.28789,Seffner,FL,Florida,27153,458,Hillsborough,1404122,16099,163.0,311.0,3.0,221325.0,4,0,4,1,3,5,18,11,22,4,8,3,0,6
623,33585,28.746309999999998,-82.06723000000001,Sumterville,FL,Florida,1394,24,Sumter,122274,516,18.0,6.0,0.0,227629.0,0,0,0,1,1,0,7,4,4,0,1,1,0,2
