,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
201,7717,40.19126,-74.01629,Avon By The Sea,NJ,New Jersey,1761,1727,Monmouth,638870,9362,825.0,26.0,2.0,1118056.0,4,1,22,81,4,21,74,99,118,6,5,24,4,5
202,7718,40.420759999999994,-74.08495,Belford,NJ,New Jersey,7139,1144,Monmouth,638870,9362,825.0,105.0,9.0,367735.0,4,0,9,14,2,13,45,24,47,3,6,10,1,4
203,7719,40.1687,-74.07275,Belmar,NJ,New Jersey,21331,642,Monmouth,638870,9362,825.0,313.0,28.0,467860.0,5,0,6,10,10,3,66,13,64,3,9,35,1,5
204,7720,40.2017,-74.01209,Bradley Beach,NJ,New Jersey,4223,2725,Monmouth,638870,9362,825.0,62.0,5.0,663274.0,19,1,32,69,5,27,102,92,174,6,14,36,6,14
205,7721,40.435790000000004,-74.2355,Cliffwood,NJ,New Jersey,3003,1245,Monmouth,638870,9362,825.0,44.0,4.0,283799.0,4,0,4,17,4,5,38,25,68,6,5,3,0,5
206,7722,40.28488,-74.16953000000001,Colts Neck,NJ,New Jersey,10094,108,Monmouth,638870,9362,825.0,148.0,13.0,746182.0,4,0,6,14,0,5,37,19,42,4,1,0,1,5
207,7723,40.25032,-74.00036999999999,Deal,NJ,New Jersey,695,251,Monmouth,638870,9362,825.0,10.0,1.0,1912883.0,4,0,9,19,5,3,44,26,39,2,3,19,0,2
208,7724,40.29844,-74.07485,Eatontown,NJ,New Jersey,21105,676,Monmouth,638870,9362,825.0,309.0,27.0,400719.0,12,0,9,24,4,14,76,39,105,8,7,35,1,5
209,7726,40.2825,-74.34245,Englishtown,NJ,New Jersey,43870,507,Monmouth,638870,9362,825.0,643.0,57.0,482385.0,5,0,1,8,2,2,21,5,23,3,7,1,0,3
210,7727,40.19832,-74.16001,Farmingdale,NJ,New Jersey,7479,124,Monmouth,638870,9362,825.0,110.0,10.0,471844.0,2,1,4,4,4,3,23,9,16,1,2,5,0,5
211,7728,40.22544,-74.2854,Freehold,NJ,New Jersey,55039,447,Monmouth,638870,9362,825.0,807.0,71.0,380783.0,4,0,5,12,7,6,86,32,62,10,12,59,0,5
212,7730,40.42485,-74.17566,Hazlet,NJ,New Jersey,16991,1369,Monmouth,638870,9362,825.0,249.0,22.0,380759.0,4,1,6,17,9,18,109,64,132,6,19,117,3,4
213,7731,40.1498,-74.20007,Howell,NJ,New Jersey,38483,445,Monmouth,638870,9362,825.0,564.0,50.0,366181.0,3,0,2,10,4,5,12,5,18,2,3,2,0,4
214,7732,40.43143,-73.99159,Highlands,NJ,New Jersey,4834,525,Monmouth,638870,9362,825.0,71.0,6.0,321894.0,0,0,0,10,0,3,1,3,1,0,0,0,0,0
215,7733,40.3767,-74.17257,Holmdel,NJ,New Jersey,16566,363,Monmouth,638870,9362,825.0,243.0,21.0,679332.0,7,1,3,9,7,4,26,6,20,1,5,2,0,1
216,7734,40.44297,-74.1351,Keansburg,NJ,New Jersey,12879,2888,Monmouth,638870,9362,825.0,189.0,17.0,239606.0,10,1,6,25,2,10,46,26,55,7,10,2,1,3
217,7735,40.44121,-74.19960999999999,Keyport,NJ,New Jersey,18586,1478,Monmouth,638870,9362,825.0,272.0,24.0,298134.0,9,1,10,23,3,6,69,57,80,5,7,16,1,7
218,7737,40.4101,-74.06482,Leonardo,NJ,New Jersey,3939,638,Monmouth,638870,9362,825.0,58.0,5.0,373338.0,3,0,8,15,3,6,26,10,27,0,7,2,0,4
219,7738,40.33775,-74.12755,Lincroft,NJ,New Jersey,6310,444,Monmouth,638870,9362,825.0,92.0,8.0,601442.0,6,0,1,21,43,8,49,18,31,5,12,19,0,4
220,7739,40.33574,-74.03457,Little Silver,NJ,New Jersey,5864,849,Monmouth,638870,9362,825.0,86.0,8.0,656296.0,4,0,3,13,1,3,77,19,36,4,4,55,1,4
221,7740,40.29586,-73.99184,Long Branch,NJ,New Jersey,30889,2270,Monmouth,638870,9362,825.0,453.0,40.0,423784.0,23,1,21,45,28,13,105,73,154,6,13,62,11,9
222,7746,40.318090000000005,-74.24989000000001,Marlboro,NJ,New Jersey,18532,554,Monmouth,638870,9362,825.0,272.0,24.0,548490.0,6,0,2,21,4,4,85,27,61,4,13,51,1,4
223,7747,40.41321,-74.25179,Matawan,NJ,New Jersey,31146,948,Monmouth,638870,9362,825.0,456.0,40.0,394751.0,5,0,4,23,4,5,68,58,102,4,8,27,1,3
224,7748,40.39436,-74.11568,Middletown,NJ,New Jersey,27396,810,Monmouth,638870,9362,825.0,401.0,35.0,451361.0,5,0,4,26,4,11,76,42,117,8,9,38,2,2
225,7750,40.33644,-73.98635,Monmouth Beach,NJ,New Jersey,3211,1221,Monmouth,638870,9362,825.0,47.0,4.0,762643.0,1,0,4,28,1,12,18,8,16,6,1,4,0,2
226,7751,40.36262,-74.25907,Morganville,NJ,New Jersey,19715,473,Monmouth,638870,9362,825.0,289.0,25.0,549710.0,2,2,0,6,2,3,24,8,15,5,6,7,0,4
227,7753,40.21495,-74.07857,Neptune,NJ,New Jersey,37597,797,Monmouth,638870,9362,825.0,551.0,49.0,323322.0,2,0,8,15,5,3,64,24,196,3,8,24,0,3
228,7755,40.263690000000004,-74.02284,Oakhurst,NJ,New Jersey,5851,865,Monmouth,638870,9362,825.0,86.0,8.0,510159.0,5,0,9,19,6,3,109,44,86,3,11,90,1,3
229,7756,40.2119,-74.00779,Ocean Grove,NJ,New Jersey,3133,3479,Monmouth,638870,9362,825.0,46.0,4.0,551418.0,35,3,46,71,7,35,105,130,177,6,20,36,3,26
230,7757,40.31621,-74.01608,Oceanport,NJ,New Jersey,5667,833,Monmouth,638870,9362,825.0,83.0,7.0,559176.0,4,1,6,15,4,5,56,18,46,4,5,23,1,8
231,7758,40.43101,-74.1035,Port Monmouth,NJ,New Jersey,4113,1261,Monmouth,638870,9362,825.0,60.0,5.0,357003.0,4,1,4,27,6,7,40,33,56,4,10,3,2,4
232,7760,40.36894,-74.00421,Rumson,NJ,New Jersey,8867,474,Monmouth,638870,9362,825.0,130.0,11.0,1040510.0,4,0,5,11,1,0,23,14,17,2,7,3,0,1
233,7762,40.15294,-74.03563,Spring Lake,NJ,New Jersey,8232,1155,Monmouth,638870,9362,825.0,121.0,11.0,761778.0,5,0,9,41,3,14,76,49,128,5,7,39,1,4
234,7764,40.28832,-74.0185,West Long Branch,NJ,New Jersey,7917,1096,Monmouth,638870,9362,825.0,116.0,10.0,501929.0,9,0,9,20,61,5,100,52,102,5,13,63,3,4
235,7801,40.9188,-74.55419,Dover,NJ,New Jersey,25026,1004,Morris,484502,6854,810.0,354.0,42.0,302238.0,6,0,6,8,2,5,125,45,181,1,2,105,1,1
236,7803,40.87768,-74.60045,Mine Hill,NJ,New Jersey,3560,479,Morris,484502,6854,810.0,50.0,6.0,304065.0,2,0,4,7,0,5,28,16,24,5,3,10,1,4
237,7820,40.92708,-74.81137,Allamuchy,NJ,New Jersey,36,7,Warren,111020,1262,164.0,0.0,0.0,201126.0,0,0,0,6,0,4,3,3,2,0,2,0,0,0
238,7821,40.964690000000004,-74.74994000000001,Andover,NJ,New Jersey,9156,82,Sussex,143778,1219,194.0,78.0,12.0,307658.0,2,0,1,5,1,0,4,3,12,0,0,1,0,1
239,7822,41.14014,-74.70546,Augusta,NJ,New Jersey,723,52,Sussex,143778,1219,194.0,6.0,1.0,341895.0,4,1,2,7,0,2,0,4,4,0,0,0,0,0
240,7823,40.82797,-75.0365,Belvidere,NJ,New Jersey,7834,116,Warren,111020,1262,164.0,89.0,12.0,243592.0,0,0,2,4,1,0,4,8,6,0,2,2,0,1
241,7825,40.977540000000005,-74.96001,Blairstown,NJ,New Jersey,9489,48,Warren,111020,1262,164.0,108.0,14.0,314519.0,6,0,3,6,9,0,16,5,16,0,5,4,0,2
242,7826,41.19266,-74.76868,Branchville,NJ,New Jersey,5771,46,Sussex,143778,1219,194.0,49.0,8.0,272507.0,0,0,1,4,0,0,0,0,2,0,0,0,0,1
243,7827,41.29226,-74.73934,Montague,NJ,New Jersey,4078,34,Sussex,143778,1219,194.0,35.0,6.0,207113.0,0,0,0,5,0,1,0,3,4,0,0,0,0,0
244,7828,40.88499,-74.75146,Budd Lake,NJ,New Jersey,15369,384,Morris,484502,6854,810.0,217.0,26.0,330079.0,3,1,5,4,2,5,12,12,11,1,0,10,0,0
245,7830,40.72104,-74.80747,Califon,NJ,New Jersey,6888,105,Hunterdon,127658,1091,124.0,59.0,7.0,464216.0,1,0,1,4,0,0,1,0,3,0,0,0,0,0
246,7832,40.96009,-75.05711,Columbia,NJ,New Jersey,3633,33,Warren,111020,1262,164.0,41.0,5.0,279864.0,1,0,0,4,0,1,5,1,5,0,0,1,0,2
247,7833,40.891890000000004,-75.06774,Delaware,NJ,New Jersey,149,137,Warren,111020,1262,164.0,2.0,0.0,,3,0,0,3,0,4,4,6,4,0,0,0,0,3
